Cant;PAIS;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
16;Bermuda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;2;0;0;0;2;1;0;1;1;0;2;0;0;2;0
17;Bolivia;0;0;0;0;0;0;0;1994;4847;5334;40642;97397;3501;6915;54453;7;52;539;49;43;73;176;891;6501;7365;4433;2039;7223;3178;83849;9918;26633;51694;13050;23471;27099;32386;9923;7597;16193;85326
18;French Guiana;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;895;358;848;533;88;182;2830;280;2178;3147;4365;15904;661;460;11328;10488;663;662;16263;1180;2603;522;625;240;250;8759
19;Panama;0;0;0;0;0;0;0;0;0;0;0;0;0;13;20469;3080;811;2628;2716;2782;314;1538;706;293;369;3998;4293;3399;2284;6783;1999;3844;1194;4774;5517;3347;7884;9077;6908;9448;4129
20;Brazil;0;0;12000;0;0;0;47367;89393;190;5334;40642;97209;3501;6915;54453;124775;175749;254074;535283;204131;231412;412388;778037;341189;112851;203356;345922;558413;724427;520660;994158;753487;597450;1473645;591080;1649008;1500535;252054;265934;2248570;1418296
21;Grenada;0;0;0;0;0;0;0;0;0;1;3;1;1;1;0;73;6;22;4;85;27;12;81;17;7;0;22;0;6;23;145;86;68;155;39;25;151;239;463;106;253
22;Paraguay;0;0;0;0;0;0;0;0;0;41000;0;0;0;0;0;0;0;0;0;1164;24282;38;1871;137;164;405;4271;28127;1953;6143;13523;42847;39063;144470;10014;68652;70215;1832;32359;11811;223262
23;United States of America;63;0;0;0;0;0;14;0;0;0;0;0;0;0;0;7;0;0;0;0;0;96;29;40;0;0;143;488;0;3;65;7;186;543;668;945;990;453;331;1158;307
24;Belize;4;9;482;26;137;0;1;0;0;0;2;0;0;0;0;107;0;141;7;3;4;3;41;0;2;380;9;40;23;1370;1885;466;1421;2690;5077;5691;4899;3042;2326;13316;2293
25;Guadeloupe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;186;0;0;41;59;0;93;495;0;3358;2942;3162;277;2233;40737;101;1088;12706;1397;201;177;540;438;3230;19407
26;Peru;0;0;0;0;0;0;0;0;0;0;7858;714;1971;897;1471;2732;6395;1357;988;554;5486;23078;8862;3622;9739;6342;5527;6872;10246;8801;18484;29612;30919;13771;19043;35837;31868;76093;6930;17143;56394
27;Virgin Islands (US);0;127;2;1;73;43;74;77;380;275;339;62;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;0;0;0;0;4;0;19;3;11;1;0;0;0
28;Virgin Islands (UK);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;23;0;0;0;0;0;6;15;65;9;939;12;223;239;103;100;67;60;78;44
29;Guatemala;30;104;33;2;0;0;0;2318;5175;7448;5757;10968;1286;1907;2872;3979;3660;5379;4653;3615;8964;4512;7552;6728;6313;6309;2422;5865;3227;10200;16842;2553;9331;11703;19797;18058;8844;4214;6830;50432;5782
30;Puerto Rico;921;8350;9536;2789;1865;2374;10628;5818;6531;8991;9444;10305;13009;6600;22000;6491;4631;6893;17068;4959;2409;5197;2883;3730;3277;5682;3036;10964;3319;6588;21265;5623;11774;18164;8880;1867;204;10;2;30;558
31;Uruguay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1769;0;0;0;4
32;Canada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;Guyana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;19;60;200;33;47;178;118;200;324;993;1467;1093;2189;1120;863;388;303;4;286;230;403
34;Haiti;255;44;211;483;328;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240;0;0;130;0;0;90;93;17
35;Saint Barthelemy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;804;0;23;40;966;56;428;78;55;0;11;1616
36;Venezuela;39;71;39;6;20;2;0;58;12;4025;7637;6559;3356;9059;15046;26900;7500;27354;31863;24028;18915;76639;34697;24750;28707;39517;37384;74185;44399;60720;113764;30135;49502;63726;87529;54152;29268;8615;19118;16015;6721
37;Saint Kitts and Nevis;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;27;6;0;0;1;5;85;20;2;4;0;1;0;49;2;19;46;2;100;75;5;136;10;6;46;20
38;Cayman Islands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;1;1;0;1;0;9;1;0;8;2;53;69;124;40;150;31;24;133;35
39;Honduras;2078;1612;1217;729;378;307;569;261;844;2507;1700;5303;2114;2847;3055;27560;5047;11861;22200;17766;13328;8646;31406;16101;17626;17048;7800;29328;16460;14528;63546;7412;15554;39201;42753;44834;22961;5217;7942;112708;26006
40;Chile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;636;0;0;0;3;28;25;51;23;1;32;44;30;40;33;10;18;29;9
41;Jamaica;9;47;21;26;12;3;3;3;6;32;9;5;296;0;0;1776;46;16;1509;24;25;39;90;52;9;46;79;1448;357;70;2887;404;4670;861;880;88;2297;215;986;7555;824
42;Colombia;8964;10790;6776;12919;7540;82271;7881;17510;16308;10091;17350;15104;59853;8449;774;50031;31398;20340;58011;19243;20956;48874;71727;47710;24708;26169;31092;38562;23651;44412;147670;31819;50040;126425;107975;96444;101016;25284;44825;127553;78979
43;Martinique;0;0;0;0;0;0;0;0;97;16;4;0;38;0;0;516;416;235;44;268;171;4468;392;791;0;6080;4085;4918;586;1377;36579;275;1511;7040;1680;207;158;113;73;1530;32398
44;Anguilla;0;1;0;2;0;0;0;0;0;0;12;0;0;0;0;4;1;0;0;12;3;25;5;2;0;0;0;0;7;0;1;9;7;8;86;8;50;22;1;6;6
45;Costa Rica;0;0;0;0;0;0;0;0;0;0;0;0;0;4612;13929;5137;2309;14421;2628;6041;4908;9464;12251;19703;9408;37798;12052;26504;8212;7214;31484;13838;22243;49993;11140;17394;23319;5561;2735;9400;9891
46;Mexico;51046;17046;32640;19028;27637;13688;19520;13371;10526;7116;14485;5863;11348;2899;6770;36029;35082;52561;23267;14655;21665;6019;8415;3599;6243;12607;22810;40539;25040;238389;51635;63628;165749;231498;124943;219593;130069;89893;78621;268458;120639
47;Saint Lucia;0;0;0;0;0;0;1;0;2;4;2;4;0;0;0;52;65;11;0;3;0;292;51;5;11;1;30;39;98;18;74;757;10;234;167;25;196;66;90;20;1318
48;Cuba;0;333891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2807;0;0;138;11363;2999;0;0;75;0;28;0;70;0;0;0;0;2522;1691;1836;1248;2128;3259;1418
49;Montserrat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;3;0;0;0;9;1;1;1;0;0;0;0;2;0;0;3;0;6;17;0;25;0;1;1;0
50;Saint Martin;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1698;506;168;372;3095;404;436;350;197;104;260;2736
51;Dominica;0;0;0;0;0;0;0;0;0;0;6;12;0;1;0;282;3;0;1;1;15;5;0;0;4;7;19;110;80;2;633;40;3;197;189;38;351;33;45;1066;47
